Comment Id,Buyer Name,Buyer Feedback,Buyer Translation Feedback,Rating,Images,Review Labels,Buyer Country,Sku Info,Up Vote Count,Down Vote Count,Selected Review,Review Date,Scraped At
50153486405279340,s***r,"바람이 엄청 쎈 만큼 소음도 엄청 쎄네요 7,200원정도에 산거라 가성비 훌륭하다고 생각합니다.","The wind is so strong that the noise is so great. I think it's a great sex cost for about 7,200 won.",5,"https://ae01.alicdn.com/kf/A735a5cdc9dd94c788c8e9b4b681710d4u.jpg
https://ae01.alicdn.com/kf/A47f760de4c8446f1af00a1028ac92bdar.jpg
https://ae01.alicdn.com/kf/A03560cc561f1426095c785fcfed6f2b0I.jpg",,KR,Color:B White ,2,0,Yes,09-Nov-24,2025-03-19T16:13:49.449Z
50153485220968264,AliExpress Shopper,"포장도 에어캡으로 잘 되어 있고 배송도 빠르네요.
제품 마감이나 만듦새가 좋고 성능도 풍량이 잘 나오고 좋아요.
가격도 저렴하도 가성비가 좋아요. 잘 만든 제품이예요........","The packaging is good with air cap and the delivery is fast.
The product finish and build are good, and the performance is good and the wind volume is good.
The price is also cheap, but the cost is good. It's a well-made product ........",5,https://ae01.alicdn.com/kf/Aad4ab9bc260a41c4997d63a95131e36eS.jpg,,KR,Color:B White ,0,0,Yes,09-Nov-24,2025-03-19T16:13:49.449Z
50152597401125464,AliExpress Shopper,"제품 퀄리티가 좋네요.믿고 구매하셔도 좋습니다.
2개째 구매입니다.","The product quality is good. You can buy it with your trust.
The second purchase.",5,https://ae01.alicdn.com/kf/Ab162e345924b4704863a46d901a619089.jpg,,KR,Color:Grey ,1,0,No,09-Nov-24,2025-03-19T16:13:49.449Z
60086515909253120,E***n,"Fast shipping, and really good packaging. Feels sturdy and durable. Really nice design. Can be very strong. Will have to test how good the battery is.","Fast shipping, and really good packaging. Feels sturdy and durable. Really nice design. Can be very strong. Will have to test how good the battery is.",5,"https://ae01.alicdn.com/kf/A4b23e3486ad545cd90bb73b680568db3b.jpg
https://ae01.alicdn.com/kf/Adce5bafb0f1a4bc8a392b1d480882c7aQ.jpg
https://ae01.alicdn.com/kf/A6ecefa88fc574e9599fb1092c2d4ff75G.jpg
https://ae01.alicdn.com/kf/A88c5e321087941b5a2d16a0d0684d2cd9.jpg",,AU,Color:Grey ,1,0,Yes,05-Nov-24,2025-03-19T16:13:49.449Z
30080265285578220,D***s,Ventilador para llevar en viaje a sitios calurosos es pequeño y funciymuy bien tiene bastante potencia y me encanta ,Fan to take on hot trips is small and very well it has a lot of power and I love it,5,https://ae01.alicdn.com/kf/A99de3f148cc54000a52374bb64a48394K.jpg,,ES,Color:B Grey ,1,0,Yes,24-Oct-24,2025-03-19T16:13:49.449Z
50149040352750570,T***i,"外箱も美しく梱包も丁寧です。
外観は値段以上の出来で安っぽさはありません。
シルバーを買いましたがファンは紫色で細部にも気を遣ってデザインされてると感じます。
ハンディファンの風は強いですが動作音はドライヤーを思わせます。
室内では使わないほうがいいでしょう。
冷却プレートはファンを動作させないと働きません。
体に当てる時は髪を巻き込まないよう注意が必要です。
操作はとても簡単です。","The outer box is also beautiful and the packing is polite.
The appearance is more than the price and there is no cheapness.
I bought silver, but I feel that the fan is purple and designed with care about the details.
The wind of the handy fan is strong, but the working sound is reminiscent of the dryer.
It is better not to use it indoors.
The cooling plate will not work if the fan is not operated.
Care should be taken not to involve hair when applying it to the body.
The operation is very simple.",5,"https://ae01.alicdn.com/kf/A02e390ecd8614ae880f48bd2ba0dd462W.jpg
https://ae01.alicdn.com/kf/Aff458920750045739041bf51b8bbfc82N.jpg",,JP,Color:Grey ,3,0,Yes,15-Oct-24,2025-03-19T16:13:49.449Z
60086110091866740,b***r,"Very good fan, I was impressed with the product . The design also looks expensive and the quality is very good","Very good fan, I was impressed with the product . The design also looks expensive and the quality is very good",5,"https://ae01.alicdn.com/kf/Ad8629cf9996347fd82e2e4c68590163cc.jpg
https://ae01.alicdn.com/kf/A80b9d9f968434a3ab0cfafbe087f697a1.jpg",,AU,Color:Grey ,0,0,Yes,17-Oct-24,2025-03-19T16:13:49.449Z
50149425871620300,c***r,만족합니다 쿨작동 매우 만족합니다,I am very satisfied with the cool working,5,"https://ae01.alicdn.com/kf/Ab9bfe22583ae48b987a3a8ec584b02f75.jpg
https://ae01.alicdn.com/kf/Ad5448f3f9d3149338ae5b167a6fdc5d0k.jpg
https://ae01.alicdn.com/kf/Ac36cb8626bea4ebf8efcc8856bcb7b07E.jpg
https://ae01.alicdn.com/kf/Af0d632f4c20f4075997aaefa13f287a9e.jpg
https://ae01.alicdn.com/kf/A1f6ca88ce6684bb0a2e197a35e908923w.jpg",,KR,Color:Grey ,0,0,No,16-Oct-24,2025-03-19T16:13:49.449Z
50147142395704160,AliExpress Shopper,"super!!!!*****5A really cooling and powerful air conditioner fan Worth the price, excellent, really satisfied and ordering another one 😬","super!!!!*****5A really cooling and powerful air conditioner fan Worth the price, excellent, really satisfied and ordering another one 😬",5,,,IL,Color:A Beige ,0,0,No,30-Sep-24,2025-03-19T16:13:49.449Z
50147940932785790,AliExpress Shopper,좋습니다 좋아요. 시원하게 잘쓰고 있습니다. 시원하게 잘쓰고 있습니다. 시원하게 잘쓰고 있습니다. 시원하게 잘쓰고 있습니다. 시원하게 잘쓰고 있습니다. 시원하게 잘쓰고 있습니다. 굳,"All right, good. It is cool and writing well. It is cool and writing well. It is cool and writing well. It is cool and writing well. It is cool and writing well. It is cool and writing well.",5,,,KR,Color:Grey ,0,0,No,30-Sep-24,2025-03-19T16:13:49.449Z
